"","source","X","Y","TreeID","Year","Status","DBH","Notes"
"292","Red-Tail Ridge",135.240164137542,171.123660995976,542,1999,"L",21,NA
"293","Red-Tail Ridge",18.3184339796982,254.429154613227,741,1999,"L",21,NA
"294","Red-Tail Ridge",82.6675098144151,220.895231966032,684,1999,"L",21,NA
"295","Red-Tail Ridge",-4.90353712902261,253.669109280357,812,1999,"L",21,NA
"296","Red-Tail Ridge",84.5697512053477,186.574960160016,697,1999,"L",21,NA
"297","Red-Tail Ridge",46.9039451102325,234.069525807408,753,1999,"L",21,NA
"298","Red-Tail Ridge",44.0398196876743,88.3299738586916,787,1999,"L",21,"6 ft tall scar; loss leader; internal scar from fire"
"299","Red-Tail Ridge",495.325390435628,104.057916594377,553,1999,"L",22,NA
"300","Red-Tail Ridge",3.88316377306285,230.512595669849,814,1999,"L",22,NA
"301","Red-Tail Ridge",64.9588946727194,239.968824606485,999,1999,"L",22,NA
"302","Red-Tail Ridge",314.978764283058,98.6578730536912,522,1999,"L",22,NA
"303","Red-Tail Ridge",62.6298916200922,129.555805256482,1,1999,"L",22,NA
"304","Red-Tail Ridge",-86.1008923824225,81.7087898022636,775,1999,"L",22,NA
"305","Red-Tail Ridge",75.3291693809745,142.807700283855,986,1999,"L",22,NA
"306","Red-Tail Ridge",-3.17341676919814,239.672039401197,813,1999,"L",33,"F. PINI CONK! ADD 3 YRS TO NORTH END"
"307","Red-Tail Ridge",41.062769350811,217.759322842862,756,1999,"L",22,NA
"308","Red-Tail Ridge",-5.64193809770282,269.136357172687,808,1999,"L",22,NA
"309","Red-Tail Ridge",-12.6102961934423,269.69828275671,810,1999,"L",22,NA
"310","Red-Tail Ridge",59.1913161204749,133.572445122211,3,1999,"L",22,NA
"311","Red-Tail Ridge",200.058290608665,35.3384527486228,575,1999,"L",23,NA
"312","Red-Tail Ridge",112.699726745007,143.69728496472,650,1999,"L",23,NA
"313","Red-Tail Ridge",396.260282720002,230.218307783651,704,1999,"L",23,NA
"314","Red-Tail Ridge",361.634261101146,211.416040318837,705,1999,"L",23,NA
"315","Red-Tail Ridge",228.625825805802,-67.9856745769498,626,1999,"L",23,"on edge of firebreak, dead/dying"
"316","Red-Tail Ridge",380.218105644619,3.1169899744794,527,1999,"L",23,NA
"317","Red-Tail Ridge",135.524526678791,28.0653285833214,644,1999,"L",23,NA
