"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,42,"235074","5074","JuNbu",23,"CLS",.6
1,43,"211004","1004","GrFrb",21,"OHB",3.3
1,43,"245013","5013","ArVth",24,"OLS",6.9
1,43,"235013","5013","ArVth",23,"CLS",9.9
1,43,"233004","3004","JuSwg",23,"CLS",13.7
1,43,"113004","3004","JuSwg",11,"SIW",18.5
1,43,"142025","2025","JuWsi",14,"YMW",38.8
1,43,"152025","2025","JuWsi",15,"OMW",6.7
1,43,"214021","4021","NaFor",21,"OHB",.8
1,43,"215012","5012","NaPgr",21,"OHB",.8
1,43,"235074","5074","JuNbu",23,"CLS",.6
1,44,"211004","1004","GrFrb",21,"OHB",3.7
1,44,"245013","5013","ArVth",24,"OLS",6.6
1,44,"235013","5013","ArVth",23,"CLS",10
1,44,"233004","3004","JuSwg",23,"CLS",13.7
1,44,"113004","3004","JuSwg",11,"SIW",17.4
1,44,"142025","2025","JuWsi",14,"YMW",39.7
1,44,"152025","2025","JuWsi",15,"OMW",6.7
1,44,"214021","4021","NaFor",21,"OHB",.7
1,44,"215012","5012","NaPgr",21,"OHB",.8
1,44,"235074","5074","JuNbu",23,"CLS",.7
1,45,"211004","1004","GrFrb",21,"OHB",3.5
1,45,"245013","5013","ArVth",24,"OLS",6.6
1,45,"235013","5013","ArVth",23,"CLS",10.2
1,45,"233004","3004","JuSwg",23,"CLS",13.7
1,45,"113004","3004","JuSwg",11,"SIW",17.2
1,45,"142025","2025","JuWsi",14,"YMW",39.5
1,45,"152025","2025","JuWsi",15,"OMW",6.8
1,45,"214021","4021","NaFor",21,"OHB",.9
1,45,"215012","5012","NaPgr",21,"OHB",.7
1,45,"235074","5074","JuNbu",23,"CLS",.9
1,46,"211004","1004","GrFrb",21,"OHB",3.7
1,46,"245013","5013","ArVth",24,"OLS",6.6
1,46,"235013","5013","ArVth",23,"CLS",10.4
1,46,"233004","3004","JuSwg",23,"CLS",13.4
1,46,"113004","3004","JuSwg",11,"SIW",16.7
1,46,"142025","2025","JuWsi",14,"YMW",40
1,46,"152025","2025","JuWsi",15,"OMW",6.8
1,46,"214021","4021","NaFor",21,"OHB",.9
1,46,"215012","5012","NaPgr",21,"OHB",.8
1,46,"235074","5074","JuNbu",23,"CLS",.7
1,47,"211004","1004","GrFrb",21,"OHB",3.5
1,47,"245013","5013","ArVth",24,"OLS",6.6
1,47,"235013","5013","ArVth",23,"CLS",10.8
1,47,"233004","3004","JuSwg",23,"CLS",13.3
1,47,"113004","3004","JuSwg",11,"SIW",15.3
1,47,"142025","2025","JuWsi",14,"YMW",41.3
1,47,"152025","2025","JuWsi",15,"OMW",6.8
1,47,"214021","4021","NaFor",21,"OHB",.9
1,47,"215012","5012","NaPgr",21,"OHB",.7
1,47,"235074","5074","JuNbu",23,"CLS",.8
1,48,"211004","1004","GrFrb",21,"OHB",4.1
1,48,"245013","5013","ArVth",24,"OLS",6.1
1,48,"235013","5013","ArVth",23,"CLS",11.1
1,48,"233004","3004","JuSwg",23,"CLS",13.3
1,48,"113004","3004","JuSwg",11,"SIW",14
1,48,"142025","2025","JuWsi",14,"YMW",42.3
1,48,"152025","2025","JuWsi",15,"OMW",6.8
1,48,"214021","4021","NaFor",21,"OHB",.7
1,48,"215012","5012","NaPgr",21,"OHB",.9
1,48,"235074","5074","JuNbu",23,"CLS",.7
1,49,"211004","1004","GrFrb",21,"OHB",4.7
1,49,"245013","5013","ArVth",24,"OLS",5.9
1,49,"235013","5013","ArVth",23,"CLS",11.2
1,49,"233004","3004","JuSwg",23,"CLS",13.1
1,49,"113004","3004","JuSwg",11,"SIW",12.3
1,49,"142025","2025","JuWsi",14,"YMW",43.5
1,49,"152025","2025","JuWsi",15,"OMW",6.9
1,49,"214021","4021","NaFor",21,"OHB",.7
1,49,"215012","5012","NaPgr",21,"OHB",.9
1,49,"235074","5074","JuNbu",23,"CLS",.8
1,50,"211004","1004","GrFrb",21,"OHB",4.5
1,50,"245013","5013","ArVth",24,"OLS",5.8
1,50,"235013","5013","ArVth",23,"CLS",11.9
1,50,"233004","3004","JuSwg",23,"CLS",12.8
1,50,"113004","3004","JuSwg",11,"SIW",11.6
1,50,"142025","2025","JuWsi",14,"YMW",44
1,50,"152025","2025","JuWsi",15,"OMW",7
1,50,"214021","4021","NaFor",21,"OHB",.6
1,50,"215012","5012","NaPgr",21,"OHB",.8
1,50,"235074","5074","JuNbu",23,"CLS",1
1,51,"211004","1004","GrFrb",21,"OHB",4.4
1,51,"245013","5013","ArVth",24,"OLS",5.3
1,51,"235013","5013","ArVth",23,"CLS",12.5
1,51,"233004","3004","JuSwg",23,"CLS",3.3
1,51,"113004","3004","JuSwg",11,"SIW",20
1,51,"142025","2025","JuWsi",14,"YMW",45.1
1,51,"152025","2025","JuWsi",15,"OMW",7
1,51,"214021","4021","NaFor",21,"OHB",.4
