"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,42,"233004","3004","JuSwg",23,"CLS",15.8
1,42,"113004","3004","JuSwg",11,"SIW",.1
1,42,"142025","2025","JuWsi",14,"YMW",4
1,42,"152025","2025","JuWsi",15,"OMW",5
1,42,"214021","4021","NaFor",21,"OHB",.4
1,42,"215012","5012","NaPgr",21,"OHB",.2
1,42,"235074","5074","JuNbu",23,"CLS",.3
1,43,"211004","1004","GrFrb",21,"OHB",41.4
1,43,"245013","5013","ArVth",24,"OLS",22
1,43,"235013","5013","ArVth",23,"CLS",11.5
1,43,"233004","3004","JuSwg",23,"CLS",14.9
1,43,"113004","3004","JuSwg",11,"SIW",.3
1,43,"142025","2025","JuWsi",14,"YMW",4
1,43,"152025","2025","JuWsi",15,"OMW",5
1,43,"214021","4021","NaFor",21,"OHB",.4
1,43,"215012","5012","NaPgr",21,"OHB",.1
1,43,"235074","5074","JuNbu",23,"CLS",.4
1,44,"211004","1004","GrFrb",21,"OHB",43
1,44,"245013","5013","ArVth",24,"OLS",20.7
1,44,"235013","5013","ArVth",23,"CLS",11.8
1,44,"233004","3004","JuSwg",23,"CLS",14.5
1,44,"113004","3004","JuSwg",11,"SIW",.4
1,44,"142025","2025","JuWsi",14,"YMW",3.8
1,44,"152025","2025","JuWsi",15,"OMW",5
1,44,"214021","4021","NaFor",21,"OHB",.4
1,44,"215012","5012","NaPgr",21,"OHB",0
1,44,"235074","5074","JuNbu",23,"CLS",.4
1,45,"211004","1004","GrFrb",21,"OHB",44
1,45,"245013","5013","ArVth",24,"OLS",20.1
1,45,"235013","5013","ArVth",23,"CLS",10.4
1,45,"233004","3004","JuSwg",23,"CLS",15.5
1,45,"113004","3004","JuSwg",11,"SIW",.3
1,45,"142025","2025","JuWsi",14,"YMW",3.9
1,45,"152025","2025","JuWsi",15,"OMW",5
1,45,"214021","4021","NaFor",21,"OHB",.4
1,45,"215012","5012","NaPgr",21,"OHB",0
1,45,"235074","5074","JuNbu",23,"CLS",.4
1,46,"211004","1004","GrFrb",21,"OHB",43
1,46,"245013","5013","ArVth",24,"OLS",21.2
1,46,"235013","5013","ArVth",23,"CLS",10.6
1,46,"233004","3004","JuSwg",23,"CLS",15.3
1,46,"113004","3004","JuSwg",11,"SIW",.3
1,46,"142025","2025","JuWsi",14,"YMW",3.8
1,46,"152025","2025","JuWsi",15,"OMW",5
1,46,"214021","4021","NaFor",21,"OHB",.4
1,46,"215012","5012","NaPgr",21,"OHB",0
1,46,"235074","5074","JuNbu",23,"CLS",.4
1,47,"211004","1004","GrFrb",21,"OHB",41.8
1,47,"245013","5013","ArVth",24,"OLS",22.2
1,47,"235013","5013","ArVth",23,"CLS",10.9
1,47,"233004","3004","JuSwg",23,"CLS",15.2
1,47,"113004","3004","JuSwg",11,"SIW",.3
1,47,"142025","2025","JuWsi",14,"YMW",3.8
1,47,"152025","2025","JuWsi",15,"OMW",5
1,47,"214021","4021","NaFor",21,"OHB",.3
1,47,"215012","5012","NaPgr",21,"OHB",.1
1,47,"235074","5074","JuNbu",23,"CLS",.4
1,48,"211004","1004","GrFrb",21,"OHB",40.7
1,48,"245013","5013","ArVth",24,"OLS",23.4
1,48,"235013","5013","ArVth",23,"CLS",11.2
1,48,"233004","3004","JuSwg",23,"CLS",14.8
1,48,"113004","3004","JuSwg",11,"SIW",.3
1,48,"142025","2025","JuWsi",14,"YMW",3.8
1,48,"152025","2025","JuWsi",15,"OMW",5
1,48,"214021","4021","NaFor",21,"OHB",.2
1,48,"215012","5012","NaPgr",21,"OHB",.2
1,48,"235074","5074","JuNbu",23,"CLS",.4
1,49,"211004","1004","GrFrb",21,"OHB",40.3
1,49,"245013","5013","ArVth",24,"OLS",24.5
1,49,"235013","5013","ArVth",23,"CLS",11.6
1,49,"233004","3004","JuSwg",23,"CLS",14
1,49,"113004","3004","JuSwg",11,"SIW",.2
1,49,"142025","2025","JuWsi",14,"YMW",3.6
1,49,"152025","2025","JuWsi",15,"OMW",5
1,49,"214021","4021","NaFor",21,"OHB",.2
1,49,"215012","5012","NaPgr",21,"OHB",.2
1,49,"235074","5074","JuNbu",23,"CLS",.4
1,50,"211004","1004","GrFrb",21,"OHB",40.3
1,50,"245013","5013","ArVth",24,"OLS",24.6
1,50,"235013","5013","ArVth",23,"CLS",11.6
1,50,"233004","3004","JuSwg",23,"CLS",4.3
1,50,"113004","3004","JuSwg",11,"SIW",9.8
1,50,"142025","2025","JuWsi",14,"YMW",3.6
1,50,"152025","2025","JuWsi",15,"OMW",5
1,50,"214021","4021","NaFor",21,"OHB",.2
1,50,"215012","5012","NaPgr",21,"OHB",.2
1,50,"235074","5074","JuNbu",23,"CLS",.4
1,51,"211004","1004","GrFrb",21,"OHB",41
1,51,"245013","5013","ArVth",24,"OLS",24.9
